source_id,source_family,data_role,source_url,official_or_secondary,expected_update_frequency,version_policy,raw_commit_allowed,notes
arcticgro_data_page,ArcticGRO,registry,https://arcticgreatrivers.org/data/,official,frequent,Discover links and version codes from the official data page.,False,Official entry point. ArcticGRO asks users to credit the project; data page states datasets are frequently updated and versioned YYYYMMDD.
arcticgro_water_quality_current,ArcticGRO,DOC/TOC labels and sample chemistry,https://arcticgreatrivers.org/water_data/,official,frequent,Use page text or workbook VERSION row.,False,"Current Water Quality workbook; DOC is a candidate label, Axxx columns are lab optical proxies."
arcticgro_water_quality_archived,ArcticGRO,archived labels and chemistry,https://drive.google.com/drive/folders/1OeFu50hfKCoYZlf844pqMx1rNajsnF63,official,historical,Record available archive folder; do not bulk-download Drive folders automatically.,False,Archived versions. Manual acquisition may be needed.
arcticgro_water_quality_metadata,ArcticGRO,metadata,https://drive.google.com/file/d/1C4uWkAxr6KRaInMTsGL1CQSApFOSDz4B/view,official,occasional,Version may be embedded in file name or PDF text.,False,Comprehensive ArcticGRO metadata PDF from official data page.
arcticgro_water_quality_parameter_descriptions,ArcticGRO,metadata,https://docs.google.com/spreadsheets/d/1b7T75PqEQIcNNBBeF0Ot1USRFcb9gUEjPfAQnP_1r40/edit?gid=2004373548,official,frequent,Use workbook VERSION row where available.,False,Parameter descriptions linked from the Water Quality page.
arcticgro_water_quality_flags,ArcticGRO,metadata,https://arcticgreatrivers.org/water_data/,official,frequent,Extract Flag codes sheet from Water Quality workbook and flag definition text from page.,False,Flag definitions must be kept separate from labels.
arcticgro_absorbance_current,ArcticGRO,lab optical proxy,https://docs.google.com/spreadsheets/d/1XJlxxnbL6ddSPWNH4YNcKkn29sVeoiCS0Cz6OyrBad4/edit,official,frequent,Use workbook VERSION row.,False,"Lab absorbance/CDOM proxy. Defaults to validation-only, not daily predictor."
arcticgro_absorbance_archived,ArcticGRO,archived lab optical proxy,https://drive.google.com/drive/folders/1OeFu50hfKCoYZlf844pqMx1rNajsnF63,official,historical,Record archive acquisition instructions.,False,Archived absorbance versions.
arcticgro_discharge_current,ArcticGRO,daily discharge,https://arcticgreatrivers.org/discharge/,official,frequent,"Use embedded xlsx filenames, Version_YYYYMMDD.",False,Current daily discharge workbooks are embedded in official discharge page.
arcticgro_discharge_archived,ArcticGRO,archived daily discharge,https://drive.google.com/drive/folders/1OeFu50hfKCoYZlf844pqMx1rNajsnF63,official,historical,Record archive acquisition instructions.,False,Archived discharge versions.
arcticgro_spatial_data,ArcticGRO,spatial context,https://drive.google.com/drive/folders/1S-MAqA9ahewFhOb8yHEmMc-JC9jX6rwC,official,occasional,Record folder URL unless manual files are supplied.,False,"Spatial data are context only, not DOC labels."
old_arctic_doc_snowmelt_outputs,old_project,reference only,env:OLD_PROJECT_DIR,secondary,none,Copy selected non-raw reference outputs only when OLD_PROJECT_DIR exists.,False,Reference tables must be regenerated from raw sources before becoming authoritative.
old_arctic_doc_snowmelt_untrained_data,old_project,reference-only raw/interim data snapshot,env:OLD_PROJECT_DIR,secondary,none,"Copy OLD_PROJECT_DIR data/raw, data/raw_external, and data/interim as an isolated local snapshot with SHA256 manifest rows.",False,Old untrained data files are copied for provenance/reference only. They are not treated as authoritative and are not merged into canonical tables unless regenerated/audited.
arctic_data_center_tank_2023,Arctic Data Center,benchmark fixed-version package,https://doi.org/10.18739/A2VH5CK43,official,fixed DOI,Resolve DOI and preserve DOI/package metadata; treat as benchmark until provenance audit.,False,Do not merge into training labels until duplicate and provenance audit is complete.
wqp_usgs_yukon_candidate,WQP/USGS,candidate external label/proxy observations,https://www.waterqualitydata.us/,official,frequent,Use retrieved_at_utc and query URL; WQP is a live service.,False,"Candidate only. DOC/TOC/CDOM/UV/turbidity results need site, method, medium, and fraction QC."
datastream_mackenzie_candidate,DataStream,candidate external label/proxy observations,https://datastream.org/en-ca/documentation/api,official,frequent,Use API response metadata and retrieved_at_utc.,False,Candidate only. Basin observations are not assumed mainstem-comparable.
partners_mdpi_eurasian_candidate,literature supplementary,supplementary mechanism or candidate labels,https://www.mdpi.com/,secondary,fixed publication,"Preserve article citation, DOI, supplement file names, and retrieved_at_utc.",False,Parse conservatively; duplicate/provenance audit required before label use.
gee_hls_s30_l30,Google Earth Engine,satellite optical proxy,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,official,frequent,Collection IDs and image IDs define versions.,False,HLS optical proxy only. Use Fmask bits. Dry-run/report-only unless EE is authenticated.
gee_sentinel2_sr_harmonized,Google Earth Engine,satellite optical proxy,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR_HARMONIZED,official,frequent,Collection and image IDs define versions.,False,Sentinel-2 optical proxy only. Use SCL / QA cloud-snow-water logic.
gee_landsat_c2_l2,Google Earth Engine,satellite optical proxy,https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C02_T1_L2,official,frequent,Collection and image IDs define versions.,False,Landsat C2 optical proxy only. Use QA_PIXEL.
gee_era5_land,Google Earth Engine,daily hydroclimate predictor,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_LAND_HOURLY,official,frequent,Collection and date define versions.,False,Daily hydroclimate predictors only.
gee_modis_mod10a1,Google Earth Engine,daily snow predictor,https://developers.google.com/earth-engine/datasets/catalog/MODIS_061_MOD10A1,official,frequent,Collection and date define versions.,False,Use NDSI_Snow_Cover and mask invalid provider values >100.
gee_smap_context_optional,Google Earth Engine,optional context predictor,https://developers.google.com/earth-engine/datasets/catalog/NASA_SMAP_SPL3SMP_E_006,official,frequent,Collection and date define versions.,False,Optional basin context; not required for core training matrix.
hydrobasins,HydroSHEDS,basin context,https://www.hydrosheds.org/products/hydrobasins,official,occasional,Check size/license before download; prefer local_paths.yaml for manual files.,False,"Basin context, not DOC label data."
